Entity,Code,Year,population,population
Asia,,1976,2436467523,2436467523
Asia,,1977,2484229194,2484229194
Asia,,1978,2531837751,2531837751
Asia,,1979,2580755579,2580755579
Asia,,1980,2631643578,2631643578
Asia,,1981,2683999130,2683999130
Asia,,1982,2738669561,2738669561
Asia,,1983,2794057024,2794057024
Asia,,1984,2849479890,2849479890
Asia,,1985,2906232637,2906232637
Asia,,1986,2964898212,2964898212
Asia,,1987,3025641761,3025641761
Asia,,1988,3086642984,3086642984
Asia,,1989,3147693774,3147693774
Asia,,1990,3209094416,3209094416
Asia,,1991,3268207591,3268207591
Asia,,1992,3324812376,3324812376
Asia,,1993,3380039932,3380039932
Asia,,1994,3433680246,3433680246
Asia,,1995,3486817941,3486817941
Asia,,1996,3539849815,3539849815
Asia,,1997,3592367924,3592367924
Asia,,1998,3644341777,3644341777
Asia,,1999,3695620593,3695620593
Asia,,2000,3746832774,3746832774
Asia,,2001,3797954098,3797954098
Asia,,2002,3847359676,3847359676
Asia,,2003,3895799452,3895799452
Asia,,2004,3944378409,3944378409
Asia,,2005,3992890562,3992890562
Asia,,2006,4041771421,4041771421
Asia,,2007,4090564354,4090564354
Asia,,2008,4139267473,4139267473
Asia,,2009,4188829442,4188829442
Asia,,2010,4238694946,4238694946
Asia,,2011,4288349990,4288349990
Asia,,2012,4338443549,4338443549
Asia,,2013,4387757389,4387757389
Asia,,2014,4435744582,4435744582
Asia,,2015,4482088478,4482088478
Asia,,2016,4527178156,4527178156
Asia,,2017,4571224662,4571224662
Asia,,2018,4612352863,4612352863
Asia,,2019,4651098712,4651098712
Asia,,2020,4686811205,4686811205
Asia,,2021,4716999175,4716999175
Asia,,2022,4746329726,4746329726
Asia,,2023,4776659632,4776659632
Asia,,2024,4805539787,4805539787
Asia,,2025,4833949408,4833949408
Asia,,2026,4861945110,4861945110
Asia,,2027,4889569831,4889569831
Asia,,2028,4916440060,4916440060
Asia,,2029,4942513170,4942513170
Asia,,2030,4967811157,4967811157
Asia,,2031,4992292431,4992292431
Asia,,2032,5015913621,5015913621
Asia,,2033,5038683283,5038683283
Asia,,2034,5060562359,5060562359
Asia,,2035,5081525110,5081525110
Asia,,2036,5101635813,5101635813
Asia,,2037,5120879211,5120879211
Asia,,2038,5139197443,5139197443
Asia,,2039,5156613875,5156613875
Asia,,2040,5173108669,5173108669
Asia,,2041,5188599211,5188599211
Asia,,2042,5203036693,5203036693
Asia,,2043,5216459661,5216459661
Asia,,2044,5228878379,5228878379
Asia,,2045,5240226790,5240226790
Asia,,2046,5250447750,5250447750
Asia,,2047,5259428744,5259428744
Asia,,2048,5267137587,5267137587
Asia,,2049,5273637868,5273637868
Asia,,2050,5278869937,5278869937
Asia,,2051,5282720774,5282720774
Asia,,2052,5285244985,5285244985
Asia,,2053,5286614166,5286614166
Asia,,2054,5286798347,5286798347
Asia,,2055,5285791460,5285791460
Asia,,2056,5283712629,5283712629
Asia,,2057,5280605152,5280605152
Asia,,2058,5276476791,5276476791
Asia,,2059,5271333229,5271333229
Asia,,2060,5265336262,5265336262
Asia,,2061,5258546131,5258546131
Asia,,2062,5251061174,5251061174
Asia,,2063,5243022886,5243022886
Asia,,2064,5234394587,5234394587
Asia,,2065,5225198847,5225198847
Asia,,2066,5215457957,5215457957
Asia,,2067,5205123415,5205123415
Asia,,2068,5194276829,5194276829
Asia,,2069,5182938174,5182938174
Asia,,2070,5171067475,5171067475
Asia,,2071,5158658987,5158658987
Asia,,2072,5145660287,5145660287
Asia,,2073,5132139469,5132139469
Asia,,2074,5118054138,5118054138
Asia,,2075,5103294671,5103294671
Asia,,2076,5087950446,5087950446
Asia,,2077,5072045761,5072045761
Asia,,2078,5055510646,5055510646
Asia,,2079,5038473870,5038473870
Asia,,2080,5020981198,5020981198
Asia,,2081,5002935753,5002935753
Asia,,2082,4984418074,4984418074
Asia,,2083,4965484611,4965484611
Asia,,2084,4946211885,4946211885
Asia,,2085,4926662882,4926662882
Asia,,2086,4906750234,4906750234
Asia,,2087,4886599047,4886599047
Asia,,2088,4866310629,4866310629
Asia,,2089,4845826492,4845826492
Asia,,2090,4825183664,4825183664
Asia,,2091,4804441266,4804441266
Asia,,2092,4783597240,4783597240
Asia,,2093,4762603477,4762603477
Asia,,2094,4741428183,4741428183
Asia,,2095,4720104736,4720104736
Asia,,2096,4698633488,4698633488
Asia,,2097,4677005178,4677005178
Asia,,2098,4655239897,4655239897
Asia,,2099,4633375877,4633375877
Asia,,2100,4611392207,4611392207
Europe,,1947,541177985,541177985
Europe,,1948,543661411,543661411
Europe,,1949,546600806,546600806
Europe,,1950,549361682,549361682
Europe,,1951,554336222,554336222
Europe,,1952,559299025,559299025
Europe,,1953,564660786,564660786
Europe,,1954,570269625,570269625
Europe,,1955,575977754,575977754
Europe,,1956,581699676,581699676
Europe,,1957,587740737,587740737
Europe,,1958,594183460,594183460
Europe,,1959,600394949,600394949
Europe,,1960,606404009,606404009
Europe,,1961,612457729,612457729
Europe,,1962,618417566,618417566
Europe,,1963,624200480,624200480
Europe,,1964,629767760,629767760
Europe,,1965,635030906,635030906
Europe,,1966,640036994,640036994
Europe,,1967,644732600,644732600
Europe,,1968,649249404,649249404
Europe,,1969,653780348,653780348
Europe,,1970,657646308,657646308
Europe,,1971,661610573,661610573
Europe,,1972,666182813,666182813
Europe,,1973,670465967,670465967
Europe,,1974,674404989,674404989
Europe,,1975,677939371,677939371
Europe,,1976,681319207,681319207
Europe,,1977,684767363,684767363
Europe,,1978,688106257,688106257
Europe,,1979,691423810,691423810
Europe,,1980,694962025,694962025
Europe,,1981,698282872,698282872
Europe,,1982,701148276,701148276
Europe,,1983,703986058,703986058
Europe,,1984,706830247,706830247
Europe,,1985,709671971,709671971
Europe,,1986,712736045,712736045
Europe,,1987,715923439,715923439
Europe,,1988,719141825,719141825
Europe,,1989,722202127,722202127
Europe,,1990,724928030,724928030
Europe,,1991,727282708,727282708
Europe,,1992,728427305,728427305
Europe,,1993,728832223,728832223
Europe,,1994,729729624,729729624
Europe,,1995,730243556,730243556
Europe,,1996,730250394,730250394
Europe,,1997,730322947,730322947
Europe,,1998,729778939,729778939
Europe,,1999,729149183,729149183
Europe,,2000,729112155,729112155
Europe,,2001,729202129,729202129
Europe,,2002,730108231,730108231
Europe,,2003,731376242,731376242
Europe,,2004,732264288,732264288
Europe,,2005,733082921,733082921
Europe,,2006,733738758,733738758
Europe,,2007,734969351,734969351
Europe,,2008,736640719,736640719
Europe,,2009,738045338,738045338
Europe,,2010,739273391,739273391
Europe,,2011,740505908,740505908
Europe,,2012,741624513,741624513
Europe,,2013,742654890,742654890
Europe,,2014,743842712,743842712
Europe,,2015,745456775,745456775
Europe,,2016,747240427,747240427
Europe,,2017,748683743,748683743
Europe,,2018,749835851,749835851
Europe,,2019,750791010,750791010
Europe,,2020,750826495,750826495
Europe,,2021,749931027,749931027
Europe,,2022,748296158,748296158
Europe,,2023,746948103,746948103
Europe,,2024,746442350,746442350
Europe,,2025,745769830,745769830
Europe,,2026,744864909,744864909
Europe,,2027,743765598,743765598
Europe,,2028,742562523,742562523
Europe,,2029,741255792,741255792
Europe,,2030,739855959,739855959
Europe,,2031,738357375,738357375
Europe,,2032,736804952,736804952
Europe,,2033,735247166,735247166
Europe,,2034,733663724,733663724
Europe,,2035,732049911,732049911
Europe,,2036,730399480,730399480
Europe,,2037,728719306,728719306
Europe,,2038,727028304,727028304
Europe,,2039,725311691,725311691
Europe,,2040,723586715,723586715
Europe,,2041,721879912,721879912
Europe,,2042,720170674,720170674
Europe,,2043,718421286,718421286
Europe,,2044,716619816,716619816
Europe,,2045,714780116,714780116
Europe,,2046,712896836,712896836
Europe,,2047,710943497,710943497
Europe,,2048,708901761,708901761
Europe,,2049,706764528,706764528
Europe,,2050,704536418,704536418
Europe,,2051,702226389,702226389
Europe,,2052,699836869,699836869
Europe,,2053,697324512,697324512
Europe,,2054,694692431,694692431
Europe,,2055,691972448,691972448
Europe,,2056,689173884,689173884
Europe,,2057,686339462,686339462
Europe,,2058,683470579,683470579
Europe,,2059,680567384,680567384
Europe,,2060,677663741,677663741
Europe,,2061,674767526,674767526
Europe,,2062,671875802,671875802
Europe,,2063,669005602,669005602
Europe,,2064,666160360,666160360
Europe,,2065,663345541,663345541
Europe,,2066,660581892,660581892
Europe,,2067,657888299,657888299
Europe,,2068,655247818,655247818
Europe,,2069,652648260,652648260
Europe,,2070,650101483,650101483
Europe,,2071,647609559,647609559
Europe,,2072,645184140,645184140
Europe,,2073,642814760,642814760
Europe,,2074,640486018,640486018
Europe,,2075,638237147,638237147
Europe,,2076,636070015,636070015
Europe,,2077,633936103,633936103
Europe,,2078,631842493,631842493
Europe,,2079,629804165,629804165
Europe,,2080,627819720,627819720
Europe,,2081,625902652,625902652
Europe,,2082,624027815,624027815
Europe,,2083,622181356,622181356
Europe,,2084,620365410,620365410
Europe,,2085,618566761,618566761
Europe,,2086,616790078,616790078
Europe,,2087,615056032,615056032
Europe,,2088,613365515,613365515
Europe,,2089,611688966,611688966
Europe,,2090,610013148,610013148
Europe,,2091,608363496,608363496
Europe,,2092,606732511,606732511
Europe,,2093,605115638,605115638
Europe,,2094,603521515,603521515
Europe,,2095,601910504,601910504
Europe,,2096,600259869,600259869
Europe,,2097,598591878,598591878
Europe,,2098,596925076,596925076
Europe,,2099,595241159,595241159
Europe,,2100,593526178,593526178
North America,,1947,205463865,205463865
North America,,1948,209087777,209087777
North America,,1949,212901535,212901535
North America,,1950,222818944,222818944
North America,,1951,226777848,226777848
North America,,1952,230880345,230880345
North America,,1953,235114818,235114818
North America,,1954,239512118,239512118
North America,,1955,244056551,244056551
North America,,1956,248743638,248743638
North America,,1957,253588807,253588807
North America,,1958,258514836,258514836
North America,,1959,263669401,263669401
North America,,1960,269079989,269079989
North America,,1961,274662993,274662993
North America,,1962,280344703,280344703
North America,,1963,285962472,285962472
North America,,1964,291551205,291551205
North America,,1965,297056448,297056448
North America,,1966,302406120,302406120
North America,,1967,307620055,307620055
North America,,1968,312721533,312721533
North America,,1969,317807448,317807448
North America,,1970,323225986,323225986
North America,,1971,328861429,328861429
North America,,1972,334187762,334187762
North America,,1973,339231480,339231480
North America,,1974,344226863,344226863
North America,,1975,349224548,349224548
North America,,1976,354178873,354178873
North America,,1977,359152719,359152719
North America,,1978,364168538,364168538
North America,,1979,369229436,369229436
North America,,1980,374396442,374396442
North America,,1981,379564350,379564350
North America,,1982,384744466,384744466
North America,,1983,389995263,389995263
North America,,1984,395240034,395240034
North America,,1985,400471532,400471532
North America,,1986,405669381,405669381
North America,,1987,410877346,410877346
North America,,1988,416201789,416201789
North America,,1989,421643638,421643638
North America,,1990,427527961,427527961
North America,,1991,433792302,433792302
North America,,1992,440060880,440060880
North America,,1993,446185587,446185587
North America,,1994,452083590,452083590
North America,,1995,457858561,457858561
North America,,1996,463530240,463530240
North America,,1997,469106558,469106558
North America,,1998,474677555,474677555
North America,,1999,480238626,480238626
North America,,2000,485805119,485805119
North America,,2001,491432288,491432288
North America,,2002,497028237,497028237
North America,,2003,502587581,502587581
North America,,2004,508166865,508166865
North America,,2005,513798973,513798973
North America,,2006,519545237,519545237
North America,,2007,525495111,525495111
North America,,2008,531569985,531569985
North America,,2009,537617445,537617445
North America,,2010,543593306,543593306
North America,,2011,549552423,549552423
North America,,2012,555486379,555486379
North America,,2013,561345646,561345646
North America,,2014,567078661,567078661
North America,,2015,572637311,572637311
North America,,2016,578186325,578186325
North America,,2017,583669315,583669315
North America,,2018,589049568,589049568
North America,,2019,594346833,594346833
North America,,2020,598250660,598250660
North America,,2021,600876352,600876352
North America,,2022,604356251,604356251
North America,,2023,608770557,608770557
North America,,2024,613150311,613150311
North America,,2025,617312021,617312021
North America,,2026,621280386,621280386
North America,,2027,625105320,625105320
North America,,2028,628855290,628855290
North America,,2029,632515940,632515940
North America,,2030,636071093,636071093
North America,,2031,639548103,639548103
North America,,2032,642946302,642946302
North America,,2033,646259902,646259902
North America,,2034,649499005,649499005
North America,,2035,652654409,652654409
North America,,2036,655715377,655715377
North America,,2037,658697952,658697952
North America,,2038,661603240,661603240
North America,,2039,664396098,664396098
North America,,2040,667064973,667064973
North America,,2041,669632819,669632819
North America,,2042,672117672,672117672
North America,,2043,674498779,674498779
North America,,2044,676750548,676750548
North America,,2045,678892673,678892673
North America,,2046,680913869,680913869
North America,,2047,682824660,682824660
North America,,2048,684639351,684639351
North America,,2049,686343586,686343586
North America,,2050,687962528,687962528
North America,,2051,689512758,689512758
North America,,2052,690980174,690980174
North America,,2053,692367754,692367754
North America,,2054,693661948,693661948
North America,,2055,694863626,694863626
North America,,2056,696014399,696014399
North America,,2057,697154050,697154050
North America,,2058,698302285,698302285
North America,,2059,699417310,699417310
North America,,2060,700461102,700461102
North America,,2061,701477920,701477920
North America,,2062,702491497,702491497
North America,,2063,703477480,703477480
North America,,2064,704414921,704414921
North America,,2065,705311525,705311525
North America,,2066,706196591,706196591
North America,,2067,707076056,707076056
North America,,2068,707916743,707916743
North America,,2069,708712797,708712797
North America,,2070,709452062,709452062
North America,,2071,710143948,710143948
North America,,2072,710778756,710778756
North America,,2073,711331094,711331094
North America,,2074,711819849,711819849
North America,,2075,712277745,712277745
North America,,2076,712696421,712696421
North America,,2077,713020527,713020527
North America,,2078,713275574,713275574
North America,,2079,713457944,713457944
North America,,2080,713555396,713555396
North America,,2081,713648380,713648380
North America,,2082,713709794,713709794
North America,,2083,713694991,713694991
North America,,2084,713637029,713637029
North America,,2085,713501607,713501607
North America,,2086,713330737,713330737
North America,,2087,713162391,713162391
North America,,2088,713011628,713011628
North America,,2089,712849387,712849387
North America,,2090,712623605,712623605
North America,,2091,712387209,712387209
North America,,2092,712153537,712153537
North America,,2093,711893060,711893060
North America,,2094,711614196,711614196
North America,,2095,711317462,711317462
North America,,2096,710974167,710974167
North America,,2097,710610393,710610393
North America,,2098,710220101,710220101
North America,,2099,709788962,709788962
North America,,2100,709316312,709316312
Oceania,,1947,11829855,11829855
Oceania,,1948,12066235,12066235
Oceania,,1949,12315375,12315375
Oceania,,1950,12582447,12582447
Oceania,,1951,12915438,12915438
Oceania,,1952,13229394,13229394
Oceania,,1953,13527440,13527440
Oceania,,1954,13824674,13824674
Oceania,,1955,14145499,14145499
Oceania,,1956,14484832,14484832
Oceania,,1957,14825597,14825597
Oceania,,1958,15166223,15166223
Oceania,,1959,15510258,15510258
Oceania,,1960,15862687,15862687
Oceania,,1961,16216892,16216892
Oceania,,1962,16560975,16560975
Oceania,,1963,16904643,16904643
Oceania,,1964,17254685,17254685
Oceania,,1965,17617234,17617234
Oceania,,1966,17986085,17986085
Oceania,,1967,18332230,18332230
Oceania,,1968,18670230,18670230
Oceania,,1969,19033792,19033792
Oceania,,1970,19494207,19494207
Oceania,,1971,20036080,20036080
Oceania,,1972,20494153,20494153
Oceania,,1973,20866219,20866219
Oceania,,1974,21228272,21228272
Oceania,,1975,21555933,21555933
Oceania,,1976,21842496,21842496
Oceania,,1977,22114618,22114618
Oceania,,1978,22383482,22383482
Oceania,,1979,22653744,22653744
Oceania,,1980,22954479,22954479
Oceania,,1981,23307532,23307532
Oceania,,1982,23690694,23690694
Oceania,,1983,24064500,24064500
Oceania,,1984,24421099,24421099
Oceania,,1985,24777603,24777603
Oceania,,1986,25149865,25149865
Oceania,,1987,25544583,25544583
Oceania,,1988,25956456,25956456
Oceania,,1989,26377038,26377038
Oceania,,1990,26839396,26839396
Oceania,,1991,27315329,27315329
Oceania,,1992,27746645,27746645
Oceania,,1993,28154391,28154391
Oceania,,1994,28573082,28573082
Oceania,,1995,29025263,29025263
Oceania,,1996,29498696,29498696
Oceania,,1997,29964606,29964606
Oceania,,1998,30420065,30420065
Oceania,,1999,30880109,30880109
Oceania,,2000,31352964,31352964
Oceania,,2001,31847231,31847231
Oceania,,2002,32366012,32366012
Oceania,,2003,32894562,32894562
Oceania,,2004,33419057,33419057
Oceania,,2005,33956166,33956166
Oceania,,2006,34540357,34540357
Oceania,,2007,35190038,35190038
Oceania,,2008,35890356,35890356
Oceania,,2009,36593542,36593542
Oceania,,2010,37254081,37254081
Oceania,,2011,37890092,37890092
Oceania,,2012,38550533,38550533
Oceania,,2013,39233928,39233928
Oceania,,2014,39918740,39918740
Oceania,,2015,40615011,40615011
Oceania,,2016,41347228,41347228
Oceania,,2017,42093978,42093978
Oceania,,2018,42815507,42815507
Oceania,,2019,43504533,43504533
Oceania,,2020,44079302,44079302
Oceania,,2021,44558538,44558538
Oceania,,2022,45049682,45049682
Oceania,,2023,45563133,45563133
Oceania,,2024,46089064,46089064
Oceania,,2025,46609976,46609976
Oceania,,2026,47119326,47119326
Oceania,,2027,47619455,47619455
Oceania,,2028,48113503,48113503
Oceania,,2029,48597008,48597008
Oceania,,2030,49071841,49071841
Oceania,,2031,49540764,49540764
Oceania,,2032,50001261,50001261
Oceania,,2033,50454921,50454921
Oceania,,2034,50904382,50904382
Oceania,,2035,51351569,51351569
Oceania,,2036,51797371,51797371
Oceania,,2037,52236927,52236927
Oceania,,2038,52672955,52672955
Oceania,,2039,53105122,53105122
Oceania,,2040,53532336,53532336
Oceania,,2041,53960857,53960857
Oceania,,2042,54389840,54389840
Oceania,,2043,54815203,54815203
Oceania,,2044,55235780,55235780
Oceania,,2045,55655131,55655131
Oceania,,2046,56074520,56074520
Oceania,,2047,56485018,56485018
Oceania,,2048,56891705,56891705
Oceania,,2049,57294893,57294893
Oceania,,2050,57688457,57688457
Oceania,,2051,58079052,58079052
Oceania,,2052,58462732,58462732
Oceania,,2053,58839451,58839451
Oceania,,2054,59215227,59215227
Oceania,,2055,59589316,59589316
Oceania,,2056,59955139,59955139
Oceania,,2057,60314243,60314243
Oceania,,2058,60674159,60674159
Oceania,,2059,61028526,61028526
Oceania,,2060,61373609,61373609
Oceania,,2061,61714800,61714800
Oceania,,2062,62053693,62053693
Oceania,,2063,62391435,62391435
Oceania,,2064,62723115,62723115
Oceania,,2065,63052041,63052041
Oceania,,2066,63386149,63386149
Oceania,,2067,63721458,63721458
Oceania,,2068,64053444,64053444
Oceania,,2069,64380403,64380403
Oceania,,2070,64699382,64699382
Oceania,,2071,65009355,65009355
Oceania,,2072,65315300,65315300
Oceania,,2073,65619120,65619120
Oceania,,2074,65920473,65920473
Oceania,,2075,66219426,66219426
Oceania,,2076,66513380,66513380
Oceania,,2077,66807033,66807033
Oceania,,2078,67100643,67100643
Oceania,,2079,67388570,67388570
Oceania,,2080,67672993,67672993
Oceania,,2081,67959012,67959012
Oceania,,2082,68240488,68240488
Oceania,,2083,68518493,68518493
Oceania,,2084,68790995,68790995
Oceania,,2085,69055601,69055601
Oceania,,2086,69322715,69322715
Oceania,,2087,69593571,69593571
Oceania,,2088,69871664,69871664
Oceania,,2089,70148736,70148736
Oceania,,2090,70424448,70424448
Oceania,,2091,70703207,70703207
Oceania,,2092,70976341,70976341
Oceania,,2093,71241770,71241770
Oceania,,2094,71495402,71495402
Oceania,,2095,71742782,71742782
Oceania,,2096,71993480,71993480
Oceania,,2097,72246792,72246792
Oceania,,2098,72490848,72490848
Oceania,,2099,72721368,72721368
Oceania,,2100,72945921,72945921
South America,,1947,105660735,105660735
South America,,1948,108120539,108120539
South America,,1949,110738338,110738338
South America,,1950,112973210,112973210
South America,,1951,116032091,116032091
South America,,1952,119207171,119207171
South America,,1953,122485449,122485449
South America,,1954,125865614,125865614
South America,,1955,129351390,129351390
South America,,1956,132949200,132949200
South America,,1957,136660908,136660908
South America,,1958,140478153,140478153
South America,,1959,144408286,144408286
South America,,1960,148441131,148441131
South America,,1961,152563386,152563386
South America,,1962,156774162,156774162
South America,,1963,161065586,161065586
South America,,1964,165413056,165413056
South America,,1965,169787369,169787369
South America,,1966,174174977,174174977
South America,,1967,178570548,178570548
South America,,1968,182977286,182977286
South America,,1969,187410584,187410584
South America,,1970,191855152,191855152
South America,,1971,196342424,196342424
South America,,1972,200916855,200916855
South America,,1973,205568583,205568583
South America,,1974,210289337,210289337
South America,,1975,215072893,215072893
South America,,1976,219943056,219943056
South America,,1977,224941177,224941177
South America,,1978,230063999,230063999
South America,,1979,235280219,235280219
South America,,1980,240599662,240599662
South America,,1981,246004194,246004194
South America,,1982,251463263,251463263
South America,,1983,256993741,256993741
South America,,1984,262567860,262567860
South America,,1985,268127334,268127334
South America,,1986,273653737,273653737
South America,,1987,279159635,279159635
South America,,1988,284663491,284663491
South America,,1989,290157635,290157635
South America,,1990,295639581,295639581
South America,,1991,301035778,301035778
South America,,1992,306386107,306386107
South America,,1993,311712466,311712466
South America,,1994,316983659,316983659
South America,,1995,322239767,322239767
South America,,1996,327454410,327454410
South America,,1997,332642671,332642671
South America,,1998,337868223,337868223
South America,,1999,343039486,343039486
South America,,2000,348018740,348018740
South America,,2001,352811862,352811862
South America,,2002,357458484,357458484
South America,,2003,361970821,361970821
South America,,2004,366372163,366372163
South America,,2005,370696354,370696354
South America,,2006,374925359,374925359
South America,,2007,379035649,379035649
South America,,2008,383025005,383025005
South America,,2009,386904373,386904373
South America,,2010,390701115,390701115
South America,,2011,394477911,394477911
South America,,2012,398255314,398255314
South America,,2013,402022549,402022549
South America,,2014,405812430,405812430
South America,,2015,409619968,409619968
South America,,2016,413395033,413395033
South America,,2017,417045358,417045358
South America,,2018,420440406,420440406
South America,,2019,423548289,423548289
South America,,2020,426213551,426213551
South America,,2021,428331420,428331420
South America,,2022,430492814,430492814
South America,,2023,433024230,433024230
